No,Nama Perusahaan,Detail,Jenis Barang,Wilayah Pemasaran
1344,GARUDA MAKMUR MANDIRIPerseroan Terbatas (PT)Email :garudamakmurmandiri1995@gmail.com,Merek Barang :GARUDA TILEStatus :Distributor,Ubin Keramik,"Kota Bandung dan sekitarnya, Kota Subang dan sekitarnya"
1345,ALAM PILAR PERSADAPerseroan Terbatas (PT)Email :alampilarpersada@gmail.com,Merek Barang :MENTARIStatus :Sub Agen,Pupuk MOP/KCL,Indonesia
1346,SINERGI GLOBAL MAKMURPersekutuan Komanditer (CV)Email :cmakmur74@yahoo.com,Merek Barang :Sriwijaya ContainerStatus :Agen,Kontainer dan Aksesoris,JAKARTA DAN SUMBAGSEL
1347,TURBO MECHINPerseroan Terbatas (PT)Email :sales@turbo-mech.co.id,Merek Barang :CofimcoStatus :Agen,Fans and Parts for Air Coolers and Cooling Towers,PERTAMINA di Cilacap dan Balikpapan
1348,SUMBER KARYA KASIHPerseroan Terbatas (PT)Email :cicuk@sumberkaryakasih.com,Merek Barang :SolbergStatus :Agen Tunggal,Firefighting Foam Concentrates,ALL INDONESIA
1349,ARGO PANGESTUPerseroan Terbatas (PT)Email :argopangestu.pt@gmail.com,Merek Barang :COMMWIPEStatus :Distributor Tunggal,Discreet Recorder,INDONESIA
1350,INDONESIA DISTRIBUSI JAGATRAYAPerseroan Terbatas (PT)Email :indonesiadistribusijagatraya@gmail.com,Merek Barang :Indonesia Dream JuiceStatus :Distributor Tunggal,Cairan Rokok Elektrik (E-Liquid),Seluruh Wilayah Republik Indonesia
1351,KAMESA PUTRA PRATAMAPerseroan Terbatas (PT)Email :operation@persada-enc.com,Merek Barang :TAIHANStatus :Distributor Tunggal,"OPGW dan Accessories, ADSS  dan produk lain berdasarkan kesepakatan kasus per kasus",Indonesia
1352,MULTI TEKNINDO INFOTRONIKAPerseroan Terbatas (PT)Email :info@multiteknindo.com,Merek Barang :NANOSURFStatus :Distributor,"NaioSTM - scanning tunnelling microscope, NaioAFM - atomic force microscope, NaniteAFM - atomic force microscope, LensAFM - atomic force microscope, FlexAFM - atomic force microscope, CoreAFM - atomic force microscope, NaniteAFM - atomic force microscope, DriveAFM - atomic force microscope",Indonesia
1353,AIRINDO SAKTIPerseroan Terbatas (PT)Email :inquiry@airindosakti.co.id,Merek Barang :HD HYUNDAI XITESOLUTIONStatus :Distributor,FORKLIFT TRUCKS AND SPARE PARTS.,INDONESIA
1354,PIP VALCONPerseroan Terbatas (PT)Email :tantinova128@gmail.com,Merek Barang :OTVStatus :Agen,"Katup/Valve, Flange, Wellhead, Fitting",Dumai - Pangkalan Susu dan Brandan
1355,PETRINDO SEMESTAPerseroan Terbatas (PT)Email :ga@petrindosemesta.com,Merek Barang :BBIStatus :Agen,"Reciprocating Gas Compressor Package dengan penggerak motor / gas engine - API618/API11P, Pressure Vessel (CS, SS Material) -  ASME VIII, Fuel Gas Filter Package, Storage Tank Atmosferik (CS Material) - ASME VIII,  Heat Exchanger - API661, Peralatan angkat - spreader bar termasuk shackels dan slings, Diesel dan Gas Generator Package,  CO2 Removal",Indonesia
1356,PROSPERA AGENG SEJAHTERAPerseroan Terbatas (PT)Email :pt.prosperaagengsejahtera23@gmail.com,Merek Barang :PUREVIBEStatus :Distributor Tunggal,"Good Shoot Jelly, Black Garlic Collagen Jelly, Red Ginseng Collagen Jelly, Black Balloon Flower Jelly, Queen Jelly",INDONESIA
1357,GEOTINDO MITRA KENCANAPerseroan Terbatas (PT)Email :sales@geotindo.com,Merek Barang :FLOW SCIENCEStatus :Distributor,"FLOW-3O, FLOW-3D AM, FLOW-3D CAST, FLOW-3D WELD, FLOW-3D POST, FLOW-3D X, FLOW-3O HYDRO",Indonesia
1358,KAWAN ABADI SELARASPerseroan Terbatas (PT)Email :info@kawanabadiselaras.com,Merek Barang :SumetzbergerStatus :Agen Tunggal,PNEUMATIC TUBE SYSTEM MP 10000,ALL INDONESIA
1359,MASTER PRINTPerseroan Terbatas (PT)Email :hrd@mitrapack.co.id,Merek Barang :SEALED AIRStatus :Distributor,"Filter Air,Inflatable Bubble,Instapak Chemical,Instapak,Instapak Simple,Jiffy Mailer,Shrink",Jakarta dan seluruh indonesia
1360,SMART KOMUNIKASI SISTEM ENERGIPerseroan Terbatas (PT)Email :ptsmartkomunikasisistemenergi@outlook.co.id,Merek Barang :G Force Bell dan ESUNStatus :Distributor Tunggal,"Penerangan Jalan Umum VAC , Penerangan Jalan Umum Tenaga Surya VDC , Smart System Communication Gateway , Baterai Lithium, Solar Module",Diseluruh Wilayah Indonesia
1361,INTAN SARANA TEKNIKPerseroan Terbatas (PT)Email :info@intanst.com,Merek Barang :Gorman-RuppStatus :Distributor,1. Self Priming Pumps 2. Submersible 3. Rotary Gear  4. Diaphragm Type Pumps,Republik Indonesia
1362,KOTAMINYAK INTERNUSAPerseroan Terbatas (PT)Email :hrd@kotaminyak.co.id,"Merek Barang :APPLETON, ATX, OZ GEDNEY, MCGILL, CURLE, NELSON, SOLA HDStatus :Distributor",1.Ex-e and Ex-d Lighting Fixtures 2. Plugs and Receptacles 3. Junction Boxes 4. Local Control Stations 5. Panelboards 6. Cable Glands 7. Fittings suitable for hazardous environments 8. Fittings suitable for non-hazardous environments.,INDONESIA
1363,ALTORA INTER GLOBALPerseroan Terbatas (PT)Email :admin@altora-fire.com,Merek Barang :WILH. RUBERGStatus :Distributor Tunggal,Fire Pumps and Spare Parts.,INDONESIA
1364,CONTROL SYSTEMS ARENA PARA NUSAPerseroan Terbatas (PT)Email :legal@ptcs.co.id,"Merek Barang :DeltaV, DeltaV SIS, DeltaV Product Support, DeltaV Live, DeltaV Insight, DeltaV Cybersecurity, DeltaV Simulate, Emerson, DeltaV MES, Emerson, Ovation, Ovation Green, Emerson, Ovation SIS, Emerson, Ovation, Emerson, Ovation, Emerson, AspenTech, Ovation, Emerson, Open Enterprise, Bristol Controlwave, ROC, Emerson, DL8000, Emerson, FloBoss, Bristol, ROC, Emerson, ESI, Emerson, ESI, Emerson, ESI, Emerson,Terminal Manager, Emerson, Geofields, Emerson, Emerson, AMS Optics, AMS Field Communicator Device, AMS Device Manager, AMS Machinery HealthTM Analyzer, AMS 2600 Machinery Health Expert, AMS 3000 PRO, AMS 6300 Overspeed Protection, AMS 2140, AMS 6500 ATG, AMS 6500 Prediction, AMS Wireless Vibration Monitor, AMS Wireless Sensor, AMS Asset Monitor, AMS Machine Works Software, AMS Machinery Manager Software, AMS EZ1000 Series, AMS Sensors, Emerson. DeltaV MIMIC, DeltaV AgileOps, DeltaV Real Time Scheduling, DeltaV Discrete Event Simulation, DeltaV Process Specification Management,  DeltaV SaaS SCADA (Formerly Zedi), AspenTech Inmation, AspenTech*, Emerson, Rosemount, Emerson, Rosemount, Emerson, Rosemount, Emerson, Rosemount, Emerson, Rosemount, Emerson, Rosemount, Emerson, Magtech, Emerson.Roxar, Rosemount, Emerson, Micro Motion, Emerson, Rosemount, Emerson, Roxar, Emerson, Flexim, Emerson, Emerson, Emerson, Emerson, Emerson, Fisher, Emerson, Fisher, Yarway, Sempell, Vonk, Emerson, Fisher, Emerson, Fisher, Emerson, Sempell, Raisteam, Dewrance, Fasani, Hancock, Emerson, Sempell, Emerson, Fisher, Jeon NZ, Tartarini, Emerson, Tartarini, Emerson,Tartarini, Emerson, Fisher, Cash Valves, Enardo, Amal, Varec, Anderson Greenwood, Fisher, Emerson, Yarway, Emerson, Penberthy, Emerson, Crosby,  Anderson Greenwood,  Birkett,  Bailey,  Kunkle,  SAPAG, Marston, Emerson, Bettis, Biffi, El-O Matic, Hytork, Emerson, EIM, Bettis, Biffi, Emerson, Biffi, Bettis, Shafer, Dantorque, Emerson.Status :Agen","Distributed Control System (DCS), Safety Instrumented System (SIS), Emergency Shutdown System (ESD), Fire and Gas System (FGS), Alarm Management System, Process Simulation System, Lifecycle Support, Operator Interface, Advanced Process Control, Historian, Cybersecurity, Simulation Systems; Manufacturing Execution System; Distributed Control System (DCS), Automatic Voltage Regulator (AVR), Generator Protection Systems, Boiler Optimization System, Turbine Control Systems, Turbine Protection Systems, (ECMS) Electrical Control and Monitoring Systems, Load Sharing and Load Shedding Systems, Process Simulator, Boiler Control Systems, BOP Control Systems, WTP and WWTP Control Systems, Coal and Ash Handling Control Systems, Subsystem Control Systems, SCADA, Substation Automation; Safety Instrumented Systems (SIS); Machinery Health Monitoring; Smart Process, Enterprise Data Server, Cybersecurity; Enterprise Historian, Optimization and Advance Control, Plant Digital Twin, Predictive and Perspective Maintenance, Risk Analysis; Supervisory Control and Data Acquisition (SCADA), HMI, Remote Terminal Unit (RTU), Programmable Logic Controller; Preset Controller; Flow Computer and Programmable Logic Controller; Pipeline Operation Management Software; Liquid Management Software; Gas Management Software; Terminal Automation Software; Geographic Pipeline Integrity Management Systems; Programmable Automation Controllers (PAC Systems); Machine Protection System (MPS), Machine Condition Monitoring System (MCMS), Machinery Health Analyzer, Overspeed Protection System, Wireless Vibration Monitoring System, Vibration Sensors, Instrument   Asset Management System (IAMS), Field Communicator, Asset Monitoring Platform; Process Simulation, Digital Twin, Operator Training Simulator, Dynamic Alarm Management, Dynamic Production Scheduling, debottlenecking and capacity analysis, Recipe Management, Tech Transfer and knowledge Management, Cloudbased SCADA and Remote Monitoring, Enterprise Data Management, Data Historian, Predictive Analytics;  Pressure, Flow, Level, Temperature Measurement and System (Wired, Wireless); Automatic Tank Gauging System, Level Measurement System and Accessories; Liquid Analyzer, Gas Analyzer, Gas Chromatograph, Combustion and Analyzer System; Fire and Gas Detectors (Fix, Wireless), Point Gas Detector (Combustible Gas Detector, Toxic Gas Detector), Open Path Gas Detector (Combustible Gas Detector, Toxic Gas Detector), Flame Detector, Fire and Gas System; Ultrasonic Gas Leak Detector; Solid Level Measurement; Magnetic Level Gauge, Level Transmitter and Level Switch; Corrosion and Erosion Solutions Corrosion Transmitter, Sand Acoustic Monitor,Pig Detector System; Mass Flow Meter, Liquid Density Meter, Gas Density or SG Meter, Viscosity Meter; Magnetic Flowmeter, Vortex Flowmeter, Gas and Liquid Ultrasonic Meter; Multiphase   Meter (MPFM), Watercut Meter, WetGas   Meter (WCM), Downhole Monitoring; Non intrusive Ultrasonic Flow Meter; Fiscal and Custody Metrology Gas and Liquid Metering Systems, Flow Measurement Solutions (FMS), Loading or Unloading Systems, Proving Systems (Compact Prover, Bi Directional Pipe Prover, Master Meter Provers); Gas Analyzer Systems, Liquid Analysis Systems, Steam Water Analysis System (SWAS), Continuous Emission Monitoring System (CEMS); Venturi flow meter; Life Cycle Services; Globe Control Valves, Angle Control Valves, Rotary V Notch Ball Control Valves, Butterfly Control Valves, High Pressure Control Valves; Severe Service Control Valves, Pressure Reducing and Desuperheater System (PRDS), Turbine Bypass Valve, Anti Surge Valve, High Pressure High Temperature Valve, Choke Valves; Pneumatic Spring Diaphragm Actuator, Piston and Vane Actuator, Electric Actuator for Linear and Rotary Valve; Control Valve Accessories, Pneumatic Positioner, Smart Positioner, ESD Partial Stroke Test SIL Certified, Pressure or Flow Controller, Level Controller, Temperature Controller; Gate, Globe and Check Valve; Safety Relief Valve; Pressure Regulator, Slam Shut Valve, Pressure Reducing System Skids, Metering and Regulating System (MR or S) Skid, Fuel Gas Conditioning System; Manual Ball Valve; Flow or Pressure Control Valve; Pressure regulators; Tank Products: Flame and Detonation Arrestors, Pressure Vacuum Relief Valves (PVRV), Emergency Vents, Tank Hatches, Tank Blanketing System, Vapor Recovery System; Steam Products:  Automatic Recirculation Control, Steam Traps, Wellbond, Blow off or Blow Down Valves, Colorport; Level Gauge, Liquid Level Indicating, Level Glass, Sight Glass; Pressure Relief Valve (PRV), Pressure Safety Relief Valve, Bursting Discs; Pneumatic Actuator (Rack and Pinion, Scotch Yoke); Electric Actuator, Electro Hydraulic Actuator",INDONESIA
1365,INDUSTECH ENERGI INDONESIAPerseroan Terbatas (PT)Email :atun@industech-energi.com,Merek Barang :REMAZEL ENGINEERING S.P.AStatus :Distributor Tunggal,"1.Ships' derricks cranes, including cable mobile lifting frames, straddle carriers and works trucks fitted with a crane. 2. Parts suitable for use solely or principally with the machinery of headings 8425 to 8430. 3. Other lifting, handling, loading or unloading machinery ( for example, lifts, escalators, conveyors, teleferics )",Seluruh Indonesia
1366,INSTRUMINDO PRIMA SENTOSAPerseroan Terbatas (PT)Email :instrumindo@instrumindo.co.id,Merek Barang :BAUMERStatus :Distributor Tunggal,Process Instrumentation – Mechanical Pressure / Temperature / Level Gauges,Indonesia
1367,PETRO ENERGI LESTARIPerseroan Terbatas (PT)Email :LEONY@PETROEL.COM,Merek Barang :FIN KOMODOStatus :Distributor Tunggal,KENDARAAN MOBIL KD250 AT,Medco E&P Grisik Ltd
1368,MAKA MOTOR DISTRIBUSIPerseroan Terbatas (PT)Email :legal004@motor-nusantara.com,Merek Barang :MAKAStatus :Distributor Tunggal,Sepeda Motor Listrik,JABODETABEK
1369,MECTRON ANTASENA PRATAMAPerseroan Terbatas (PT)Email :mectronantasena@gmail.com,Merek Barang :BCU PumpsStatus :Distributor,"pompa screw-centrifugal, accessories, optional devices, spare-parts",Kementerian Pekerjaan Umum & Perumahan Rakyat Negara Kesatuan Republik lndonesia
1370,CAKRABUANA PESONAPerseroan Terbatas (PT)Email :enquiry@cbp.co.id,Merek Barang :ISTOBALStatus :Agen,ALL RANGES OF ROLLING STOCK MACHINES AND ITS ACCESSORIES,"ANGKUTAN KERETA API, TRAM DAN METRO DI WILAYAH INDONESIA"
1371,PETRO ENERGI LESTARIPerseroan Terbatas (PT)Email :LEONY@PETROEL.COM,Merek Barang :FIN KOMODOStatus :Distributor Tunggal,KENDARAAN MOBIL KD250 AT,Medco E&P Grisik Ltd
1372,DIAN CITRA UTAMAPerseroan Terbatas (PT)Email :dcu.admin@dcubpn.com,Merek Barang :GLOBAL POWER TECHNOLOGIESStatus :Distributor Tunggal,STANDARD THERMOELECTRIC GENERATORS AND PARTS,"PT. Pertamina Hulu Mahakam, PT. Pertamina Hulu Kalimantan Timur,  Husky-CNOOC Madura Ltd, PT. Asset 4 Pertamina Poleng Field."
1373,MAKA MOTOR DISTRIBUSIPerseroan Terbatas (PT)Email :legal004@motor-nusantara.com,Merek Barang :MAKAStatus :Distributor Tunggal,Sepeda Motor Listrik,JABODETABEK
1374,MECTRON ANTASENA PRATAMAPerseroan Terbatas (PT)Email :mectronantasena@gmail.com,Merek Barang :BCU PumpsStatus :Distributor,"pompa screw-centrifugal, accessories, optional devices, spare-parts",Kementerian Pekerjaan Umum & Perumahan Rakyat Negara Kesatuan Republik lndonesia
1375,INSTRUMINDO PRIMA SENTOSAPerseroan Terbatas (PT)Email :instrumindo@instrumindo.co.id,Merek Barang :BAUMERStatus :Distributor Tunggal,Process Instrumentation – Mechanical Pressure / Temperature / Level Gauges,Indonesia
1376,KARYA ENERGI INDONESIAPerseroan Terbatas (PT)Email :hendri@karya-energi.com,Merek Barang :ATMOS INTERNATIONALStatus :Agen Tunggal,ATMOS SIM LEAK DETECTION; ATMOS WAVE; ATMOS THEFT DETECTION SOLUTIONS;  ATMOS WAVE FLOW; ATMOS PIG; ATMOS SOFTWARE INSTALLATION; ATMOS PIPE; ATMOS RUPTURE DETECTOR; ATMOS SIMULATION (SIM) SUITE; ATMOS SIMULATION (SIM) ONLINE; ATMOS SIMULATION (SIM) OFFLINE; ATMOS SIMULATION (SIM) LEAK DETECTION;  ATMOS BATCH; ATMOS HYDRAULIC PROFILER; ATMOS GAS MANAGEMENT SYSTEM (GMS); ETC.,SELURUH OIL & GAS DI WILAYAH INDONESIA
1377,GARUDA MITRA MANDIRIPerseroan Terbatas (PT)Email :garudamitra.mandiri@gmail.com,Merek Barang :GARUDA TILEStatus :Distributor,Ubin Keramik,"Kota Pekanbaru & sekitarnya, Kota Padang & sekitarnya"
1378,RAMOCO POWERINDOPerseroan Terbatas (PT)Email :powerindo@ramocogroup.com,Merek Barang :TB-NIIGATAStatus :Distributor Tunggal,"TB-NIIGATA MARINE LOADING ARMS, TB-NIIGATA TRUCK LOADING ARMS, TB-NIIGATA ROOF DRAIN SYSTEM, TB-NIIGATA FLOATING SUCTION SYSTEM, TB-NIIGATA SWIVEL JOINT, TB-NIIGATA SPARE PARTS  FOR ALL OF THE ABOVE EQUIPMENT.",PT. BADAK NATURAL GAS LIQUEFACTION
1379,CAHAYA PERMATA DUNIAPerseroan Terbatas (PT)Email :mia@cpd-inko.com,Merek Barang :INKO; KONICA MINOLTAStatus :Distributor,"Color Production Printing Machines and Color Production Printing Machines Consumable, AccurioLabel 230, AccurioLabel 400",INDONESIA
1380,TOHOMA MANDIRIPerseroan Terbatas (PT)Email :info@tohoma.co.id,Merek Barang :ELGIN SEPARATION SOLUTIONStatus :Distributor,"Packaged Drilling Fluid Treatment Systems, Spare Parts and Consumables,",DI SELURUH INDONESIA
1381,REXTOR MANUFACTURING INDONESIAPerseroan Terbatas (PT)Email :rextormanufacturing@gmail.com,Merek Barang :FLYTECH ENGINEERING SDN. BHDStatus :Agen Tunggal,"1.Flexible Hose - Ducting -Rubber Hose ( Air hose, Water Hose, Oil / Petroleum Hose, Material Handling Hose, Chemical Hose, Gas hose, Food Grade Hose, Hot / Steam Hose, Custom Made Rubber Hose, Pump Vacuum Hose). - Composite Hose ( About Composite Hose, Coupling & Accessories,Composite Hose Model). - Hydraulic Hose ( Four Spiral Hose, Isobaric Spiral Hose, 1SN&2SN Hydraulic Hose). - Stainless Steel Hose ( Jacketed Hose,metal Strip Hose(Interlocking), Stainless Steel Braid Hose). - Marine Offshore / Onshore Hose ( CrossLinked Poyetylene Petrolium Suction/discharge hose, Dock Oil Hose Floating / Submarine hose (SBM), Hot Tar & Asphalt(Bitumen) hose, Offshore Hose, Onshore Hose, Rotary Vibrator & Drilling Hose). - Ultra High Pressure hose. - PVC Hose ( Braided Hose, Food Grade Hose, Spring Hose Suction &Delivery Hose). - Teflon. - Thermoplastic Hose ( Beverage Dispensing Hose, Grease Hose, Jack Hose, Non Conductive Hydraulic Hose Paint Spray (1 Wire / 2 Wire) Sewer Jet cleaning Hose). 2. Fitting & Coupling 3. Instrumentation Fitting , valve & Tubing. 3. Expansion Joint. 4. Pipe / Hose Clamp. 5. PIGGING &  ACCESSORY. 6. Hose Crimping Machine. 7. Hose Floater. 8. Hose Testing, Tagging & Relted Servies. 9. Hose Management. 10. Hose Accessories",ALL OIL & GAS INDUSTRY IN INDONESIA
1382,INOVASI HARAPAN TEKNOLOGIPerseroan Terbatas (PT)Email :inovasiharapant@gmail.con,Merek Barang :IvoltStatus :Distributor,Inteligence Distribution Cabinet,DI WILAYAH SELURUH INDONESIA
1383,JAVATECH AGRO PERSADAPersekutuan Komanditer (CV)Email :javatechjaya01@gmail.com,Merek Barang :JAVATECHStatus :Distributor,"Rice Combine Harvester, Rice and Corn Combine Harvester, Vertical Dryer, Traktor Roda 4, Tractor Implements, Rotary Tiller, Corn Combine Harvester",INDONESIA
1384,CAHAYA PERMATA DUNIAPerseroan Terbatas (PT)Email :mia@cpd-inko.com,Merek Barang :INKO; KONICA MINOLTAStatus :Distributor,"Color Production Printing Machines and Color Production Printing Machines Consumable, AccurioLabel 230, AccurioLabel 400",INDONESIA
1385,BRANKY BUMIASRIPerseroan Terbatas (PT)Email :bba.shipping@yahoo.com,Merek Barang :JingboStatus :Agen,"-BOP Well Control Hose, Rotary Drilling Mud Hose, Flexible Choke & Kilt Line/Hose, Flexible Metal Hose, High Pressure Hose, Suction & Discharge Hose,  Dredging Rubber Hose, Hammer Union & Flange, High Pressure  Connector, Pneumatic Union, Elbow, High Pressure Horizontal Pipe, Pipe Fittings, Annular Manifold, Glass Steel Pipe, Lifting Collars.",Indonesia
1386,LOKA MANGGALAPerseroan Terbatas (PT)Email :linemaster@cbn.net.id,Merek Barang :KlingerStatus :Distributor,"Klinger Products: Gaskets, Seals, Packings, Insulation Gaskets, Monolithic Insulation Joints, Level Gauges, Sight Glasses, Spectacle Blinds, Safety Spray Shields and Flange Protectors, Expansion Joints, Hoses, Valves",Indonesia
1387,GARUDA MITRA MANDIRIPerseroan Terbatas (PT)Email :garudamitra.mandiri@gmail.com,Merek Barang :GARUDA TILEStatus :Distributor,Ubin Keramik,"Kota Pekanbaru & sekitarnya, Kota Padang & sekitarnya"
1388,ENERGI PERSADA SEJAHTERAPerseroan Terbatas (PT)Email :Lsetyawati@energipersadasejahtera.com,Merek Barang :WAUKESHAStatus :Agen Tunggal,TECHNICAL SERVICES,PT Perta Daya Gas
1389,SAGHATA ADIKA PROMINENSAPerseroan Terbatas (PT)Email :corsec@saghata.id,Merek Barang :GENESITEStatus :Distributor,Water Quality Instruments,ALL INDONESIA
1390,SIMCO TRIDATAMAPerseroan Terbatas (PT)Email :info@simcotridatama.com,Merek Barang :Vigil AntislipStatus :Distributor Tunggal,"Vigil Antislip Stair Nosings, Vigil Antislip Bull Nosings, Vigil Antislip Commercial Stair Treads, Vigil Antislip Metal Deck, Vigil Antislip Vinyl Deck, Vigil Antislip Deck Light, Vigil Antislip Deck Mark, Vigil Antislip Ladder Rung Covers, Vigil Antislip Flex Deck",INDONESIA
1391,RAMOCO POWERINDOPerseroan Terbatas (PT)Email :powerindo@ramocogroup.com,Merek Barang :TB-NIIGATAStatus :Distributor Tunggal,"TB-NIIGATA MARINE LOADING ARMS, TB-NIIGATA TRUCK LOADING ARMS, TB-NIIGATA ROOF DRAIN SYSTEM, TB-NIIGATA FLOATING SUCTION SYSTEM, TB-NIIGATA SWIVEL JOINT, TB-NIIGATA SPARE PARTS  FOR ALL OF THE ABOVE EQUIPMENT.",PT. BADAK NATURAL GAS LIQUEFACTION
1392,LOKA MANGGALAPerseroan Terbatas (PT)Email :linemaster@cbn.net.id,Merek Barang :KlingerStatus :Distributor,"Klinger Products: Gaskets, Seals, Packings, Insulation Gaskets, Monolithic Insulation Joints, Level Gauges, Sight Glasses, Spectacle Blinds, Safety Spray Shields and Flange Protectors, Expansion Joints, Hoses, Valves",Indonesia
1393,ULTRA DELTA MAJUPerseroan Terbatas (PT)Email :marketing@udm.co.id,Merek Barang :OVALStatus :Agen Tunggal,"1. Oval Positive Displacement Flowmeters : flowmeters to be used in the oil & gas industries ; 2. Oval Vortex Shedding Flowmeters : Flowmeters to be used in the oil & gas industries ; 3. Oval Turbine Flowmeters : Flowmeters to be used in the oil & gas industries ; 4. Oval Model GS Steam Flowmeters : Flowmeters to be used in the Oil & Gas Industries ; 5. Oval Ultra Sonic Flowmeters : flowmeters to be used in oil & gas industries ; 6. Oval Mass Flowmeters : Flowmeters to be used in the oil & gas industries ; 7. Electronic & electrical Devices : Devices to be used in the oil & gas industries ; 8. Spare parts & flowmeters accessories : small parts for flowmeters and related products ; 9. Oval system products : include proving tanks , pipe prover , loading & unloading systems and may include products , components or parts that are not manufactured by OVAL and/or its subsidiaries and/or related companies.",Indonesia
1394,GARUDA SARANA GRAHAPerseroan Terbatas (PT)Email :garudasaranagraha65@gmail.com,Merek Barang :GARUDA TILEStatus :Distributor,Ubin Keramik,"Kota Palembang dan sekitarnya, Kota Pontianak dan sekitarnya"
1395,KARYA ENERGI INDONESIAPerseroan Terbatas (PT)Email :hendri@karya-energi.com,Merek Barang :ATMOS INTERNATIONALStatus :Agen Tunggal,ATMOS SIM LEAK DETECTION; ATMOS WAVE; ATMOS THEFT DETECTION SOLUTIONS;  ATMOS WAVE FLOW; ATMOS PIG; ATMOS SOFTWARE INSTALLATION; ATMOS PIPE; ATMOS RUPTURE DETECTOR; ATMOS SIMULATION (SIM) SUITE; ATMOS SIMULATION (SIM) ONLINE; ATMOS SIMULATION (SIM) OFFLINE; ATMOS SIMULATION (SIM) LEAK DETECTION;  ATMOS BATCH; ATMOS HYDRAULIC PROFILER; ATMOS GAS MANAGEMENT SYSTEM (GMS); ETC.,SELURUH OIL & GAS DI WILAYAH INDONESIA
1396,ZADA ESHAN AMANAHPerseroan Terbatas (PT)Email :eshanamanahzada@gmail.com,Merek Barang :HORUS VISIONStatus :Distributor Tunggal,"Listening Surveillance Monitoring, Portable Multi Channel Monitoring, Compact Single Directional Microphone",INDONESIA
1397,MACHINDO INTI CEMERLANGPerseroan Terbatas (PT)Email :gandhi.m@machindo.co.id,Merek Barang :GASSOStatus :Distributor,GASSOFLEX COMPOSITE HOSES AND COUPLING,Indonesia
1398,IMECO INTER SARANAPerseroan Terbatas (PT)Email :imeco@imeco.co.id,Merek Barang :PARKERStatus :Agen,"Conversion, Modification, Upgrades, And Retrofits Services For : Gas Turbine Air Inlet Filtration And Filter Elements Systems","Indonesia Region (PowerGen, Oil & Gas & LNG Sector)"
1399,MUHAMMAD HENDY FABIANDOPeroranganEmail : -,Merek Barang :ifmStatus :Agen,"Control systems for mobile vehicles, Mobile IoT applications, mobile HMI (Human Machine Interface), Evaluation systems/power supplies Bus systems ,AS-Interface ,IO-Link master, Connection technology, IO-Link devices ,Signalling lights & LED strips, Inductive sensors ,Standard and ATEX Evaluation systems ,Induktive Sensoren ,NT Induktive IO-Link / analog Inductive fail-safe sensors ,Evaluation systems Safety ,Inductive sensors made in Romania Magnetic sensors ,Cylinder sensors ,Speed sensors for drives and axes, Magnetic and RFID coded safety sensors ,Touch sensors (KU, KT) ,Capacitve sensors ,Level sensors ,Car components ,Valve sensors (valvis, IND, T4, T5, T6) ,Identification systems RFID Code Reader O2I ,Photoelectric sensors ,Safety light curtains ,Safety services ,Photoelectric sensors PMD 1D ,Ultrasonic sensors ,radar sensors ,Industrial imaging Vision cameras O3D ,Industrial imaging Vision sensors O3D O2D O2V ,Camera systems for mobile vehicles (O3M) ,Vision camera ,Flow sensors - Vortex ,Flow Sensors - magnetic-inductive, ultrasonic ,Flow Sensors - caliometric, mechatronic ,Encoders ,Inclination sensors ,Industrial pressure sensors ,Hygenic pressure sensors ,Temperature sensors ,Vibration sensors ,Analytical sensors ,IO-Link Devices ,IO-Link ,Real Time Maintenance ,Configure ,Connectivity ,Services ,Analytics",DI SELURUH INDONESIA
1400,INTERPRIMA INDOCOMPerseroan Terbatas (PT)Email :info@interprima.co.id,Merek Barang :OBOStatus :Agen Tunggal,Lightning Protecting System & Equipment.,Indonesia
1401,CAKRA INSTRUMINDO UTAMAPerseroan Terbatas (PT)Email :happy@cakrainstrumindo.comXDCJ,Merek Barang :DONALDSONStatus :Distributor Tunggal,1.  Air  Filtration  Systems  and  related  products  offered  by Donaldson   for   Gas   Turbine   Engines     2.   Filter   Elements  and  other   replacement   parts   supplied   by   Donaldson   for Donaldson   Gas   Turbine   Engine   Air   Filtration   System Aftermarket      3.   Filter   Elements   supplied   by   Donaldson  to  replace   competitor   elements   for   Gas   Turbine   Engine Aftermarket.,"Pertamina  Donggi   -  Matindok,  Pertamina  Hulu Energi  ONWJ  & OSES,  Pertamina  Hulu  Indonesia, Pertamina  Hulu  Mahakam, Pertamina  Hulu  Rokan,  Pertamina  Refinery  Unit  III  -  Plaju,  Pertamina  Gas (PertaGas),  Petrochina,  Donggi-Senoro  LNG,  PT.  Transportasi  Gas  Indonesia, Petrokimia Gresik"
1402,PETROPROPerseroan Terbatas (PT)Email :admintender@petropro.co.id,Merek Barang :BADLEYSStatus :Agen Tunggal,Service works for Software Programs (Tidak termasuk pengadaan barang),Indonesia
1403,USAHA JAYAMAS BHAKTIPerseroan Terbatas (PT)Email :usaha.bhakti@yahoo.com,"Merek Barang :""FACET""Status :Distributor","All Facet aviation vessels, cartridge, accessories and spares, liquid vessels, and miscellaneous products, specific to commercial aviation and military from intermediate storage to fuel up-lifting markets, excluding refineries",REPUBLIK INDONESIA
1404,ENERGI PERSADA SEJAHTERAPerseroan Terbatas (PT)Email :Lsetyawati@energipersadasejahtera.com,Merek Barang :ARIEL COMPRESSORStatus :Agen,GENUINE PARTS,PT Perta Daya Gas
